,carrier,distance,travel_time,segment,betweenness,shape
1205,"Eastern Airlines f/k/a Dynamic Airways, LLC",1667,240,"('PUJ', 'PIT')",0.0002306038936959667,"[[-68.3634033203, 18.5673999786], [-80.23290253, 40.49150085]]"
1206,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",125,56,"('PUJ', 'PSE')",0.002117585262439062,"[[-68.3634033203, 18.5673999786], [-66.56300354, 18.0083007813]]"
1207,American Airlines Inc.,1351,240,"('PUJ', 'RDU')",0.0002746297604896707,"[[-68.3634033203, 18.5673999786], [-78.7874984741, 35.8776016235]]"
1208,Southwest Airlines Co.,1412,263,"('PUJ', 'RIC')",0.00028240768909714337,"[[-68.3634033203, 18.5673999786], [-77.3197021484, 37.5051994324]]"
1209,Miami Air International,1709,250,"('PUJ', 'SDF')",0.0006152046258080608,"[[-68.3634033203, 18.5673999786], [-85.736000061, 38.1744003296]]"
1210,Miami Air International,1075,185,"('PUJ', 'SFB')",0.0009798763810599407,"[[-68.3634033203, 18.5673999786], [-81.2375030518, 28.7775993347]]"
1211,"Air Charter, Inc d/b/a Air Flamenco",149,72,"('PUJ', 'SIG')",0.002411521195483205,"[[-68.3634033203, 18.5673999786], [-66.0980987549, 18.4568004608]]"
1212,Miami Air International,1787,256,"('PVD', 'ANU')",0.00020906730353170396,"[[-71.4204025269, 41.7326011658], [-61.792702, 17.1367]]"
1213,Norwegian Air International Ltd.,2969,0,"('PVD', 'ORK')",0.00025313955336345086,"[[-71.4204025269, 41.7326011658], [-8.49110984802, 51.8413009644]]"
1214,Sata Internacional,2423,0,"('PVD', 'PDL')",0.00022176115178264494,"[[-71.4204025269, 41.7326011658], [-25.6979007721, 37.7411994934]]"
1215,Transportes Aereos De Cabo,3394,0,"('PVD', 'RAI')",0.00042529299805948393,"[[-71.4204025269, 41.7326011658], [-23.4934997559, 14.9245004654]]"
1216,Norwegian Air International Ltd.,957,0,"('PVD', 'YQX')",0.00017996261195871245,"[[-71.4204025269, 41.7326011658], [-54.5680999756, 48.9369010925]]"
1217,American Airlines Inc.,7483,837,"('PVG', 'AUS')",0.0005230895935170724,"[[121.805000305, 31.1434001923], [-97.6698989868, 30.1944999695]]"
1218,United Air Lines Inc.,7384,25996,"('PVG', 'EWR')",0.0009358034411372436,"[[121.805000305, 31.1434001923], [-74.1687011719, 40.6925010681]]"
