,carrier,distance,travel_time,segment,betweenness,shape
0,VistaJet Limited,3864,0,"('ACY', 'ODE')",0.0023894862604540022,"[[-74.5772018433, 39.4575996399], [10.3309001923, 55.4766998291]]"
1,Omni Air International LLC,6163,726,"('AEX', 'ACC')",0.00012744028253724402,"[[-92.5497970581, 31.3274002075], [-0.166786000133, 5.60518980026]]"
2,Volga-Dnepr Airlines,4711,0,"('AFW', 'SID')",0.00016899704630300174,"[[-97.3188018799, 32.9875984192], [-22.9493999481, 16.741399765]]"
3,Envoy Air,751,155,"('AGU', 'ACT')",0.0013341156069673907,"[[-102.318000793, 21.7056007385], [-97.2304992676, 31.6112995148]]"
4,Envoy Air,931,175,"('AGU', 'AMA')",0.000521933968101148,"[[-102.318000793, 21.7056007385], [-101.706001282, 35.2193984985]]"
5,ExpressJet Airlines Inc.,516,159,"('AGU', 'CRP')",0.00013616138547458355,"[[-102.318000793, 21.7056007385], [-97.5011978149, 27.7703990936]]"
6,American Airlines Inc.,3267,1985,"('AMS', 'BGR')",0.0006398340769048098,"[[4.76388978958, 52.3086013794], [-68.8281021118, 44.8073997498]]"
7,VistaJet Limited,4363,0,"('AMS', 'BNA')",0.0002183064962610564,"[[4.76388978958, 52.3086013794], [-86.6781997681, 36.1245002747]]"
8,American Airlines Inc.,3732,567,"('AMS', 'BUF')",0.00020331165919233884,"[[4.76388978958, 52.3086013794], [-78.73220062, 42.94049835]]"
9,Delta Air Lines Inc.,4028,536,"('AMS', 'CMH')",0.0002391976890208602,"[[4.76388978958, 52.3086013794], [-82.8918991089, 39.9980010986]]"
10,Delta Air Lines Inc.,4142,587,"('AMS', 'CVG')",0.0003214756022755885,"[[4.76388978958, 52.3086013794], [-84.6678009033, 39.0488014221]]"
11,Delta Air Lines Inc.,4251,654,"('AMS', 'GSP')",0.00030100530255110176,"[[4.76388978958, 52.3086013794], [-82.2189025879, 34.8956985474]]"
12,Air Alsie A/S,3645,0,"('AMS', 'TEB')",0.000980853700093734,"[[4.76388978958, 52.3086013794], [-74.060798645, 40.8501014709]]"
13,Federal Express Corporation,5036,11791,"('ANC', 'CAN')",0.00051593148210482,"[[-149.996002197, 61.1744003296], [113.299003601, 23.3924007416]]"
14,Korean Air Lines Co. Ltd.,4020,0,"('ANC', 'CJU')",0.002389486260454002,"[[-149.996002197, 61.1744003296], [126.492996216, 33.5112991333]]"
15,Nippon Cargo Airlines,3011,0,"('ANC', 'CTS')",0.0006470374844856161,"[[-149.996002197, 61.1744003296], [141.692001343, 42.7751998901]]"
16,Volga-Dnepr Airlines,4856,0,"('ANC', 'KHH')",0.002389486260454002,"[[-149.996002197, 61.1744003296], [120.349998474, 22.5771007538]]"
17,Federal Express Corporation,3680,11408,"('ANC', 'KIX')",0.000778557224193804,"[[-149.996002197, 61.1744003296], [135.244003296, 34.4272994995]]"
18,Antonov Company,3852,0,"('ANC', 'KKJ')",0.002389486260454002,"[[-149.996002197, 61.1744003296], [131.035003662, 33.8459014893]]"
19,National Air Cargo Group Inc d/ba National Airlines,3978,498,"('ANC', 'KOJ')",0.002389486260454002,"[[-149.996002197, 61.1744003296], [130.718994141, 31.8034000397]]"
20,Mjet GmbH,6654,0,"('ANC', 'KUL')",0.000955851440625307,"[[-149.996002197, 61.1744003296], [101.709999084, 2.74557995796]]"
21,Atlas Air Inc.,3779,442,"('ANC', 'MEX')",0.002398898790146848,"[[-149.996002197, 61.1744003296], [-99.0720977783, 19.4363002777]]"
22,VistaJet Limited,5101,0,"('ANC', 'MFM')",0.0005031852782548704,"[[-149.996002197, 61.1744003296], [113.592002869, 22.1495990753]]"
23,National Air Cargo Group Inc d/ba National Airlines,5313,641,"('ANC', 'MNL')",0.0006739299049067384,"[[-149.996002197, 61.1744003296], [121.019996643, 14.508600235]]"
24,Atlas Air Inc.,5244,638,"('ANC', 'NNG')",0.002389486260454002,"[[-149.996002197, 61.1744003296], [108.17199707, 22.6082992554]]"
25,Western Global,3469,451,"('ANC', 'OKO')",0.0010270677709409484,"[[-149.996002197, 61.1744003296], [139.348007202, 35.748500824]]"
26,Western Global,3800,520,"('ANC', 'OSN')",0.002397988549582692,"[[-149.996002197, 61.1744003296], [127.029999, 37.090599]]"
27,United Parcel Service,4308,12971,"('ANC', 'PVG')",0.0009518234069606169,"[[-149.996002197, 61.1744003296], [121.805000305, 31.1434001923]]"
28,VistaJet Limited,3991,0,"('ANC', 'TSN')",0.002389486260454002,"[[-149.996002197, 61.1744003296], [117.346000671, 39.1244010925]]"
29,Atlas Air Inc.,6069,782,"('ANC', 'UTP')",0.00223324353368401,"[[-149.996002197, 61.1744003296], [101.004997253, 12.6799001694]]"
30,Atlas Air Inc.,4522,611,"('ANC', 'XIY')",0.002389486260454002,"[[-149.996002197, 61.1744003296], [108.751998901, 34.447101593]]"
31,VistaJet Limited,3693,0,"('ANC', 'YNY')",0.0005630104279179208,"[[-149.996002197, 61.1744003296], [128.669006348, 38.0612983704]]"
32,Air Canada,3131,0,"('ANC', 'YUL')",0.004805500853890815,"[[-149.996002197, 61.1744003296], [-73.7407989502, 45.4706001282]]"
33,Era Aviation,503,111,"('ANC', 'YXY')",0.004773256046600698,"[[-149.996002197, 61.1744003296], [-135.067001343, 60.7095985413]]"
34,"Jet Aviation Flight Services, Inc.",2436,318,"('ANU', 'ADS')",0.00045225555631866245,"[[-61.792702, 17.1367], [-96.8364028931, 32.9686012268]]"
35,American Airlines Inc.,1344,230,"('ANU', 'PBI')",0.00039763577679108997,"[[-61.792702, 17.1367], [-80.0955963135, 26.6832008362]]"
36,Tradewind Aviation,225,60,"('ANU', 'STT')",0.0009495795537199951,"[[-61.792702, 17.1367], [-64.9733963013, 18.3372993469]]"
37,"Jet Aviation Flight Services, Inc.",1790,300,"('ANU', 'TEB')",0.0008758672698882676,"[[-61.792702, 17.1367], [-74.060798645, 40.8501014709]]"
38,Avjet Corporation,280,64,"('APF', 'NAS')",0.0007163159632814788,"[[-81.7752990723, 26.1525993347], [-77.4662017822, 25.0389995575]]"
39,Air Alsie A/S,4402,0,"('ARN', 'LEX')",0.00026584753416091785,"[[17.9186000824, 59.6519012451], [-84.6059036255, 38.0364990234]]"
40,Luxaviation Germany GmbH,4922,0,"('ATH', 'FRG')",0.00019710733712680528,"[[23.9444999695, 37.9364013672], [-73.4133987427, 40.7288017273]]"
41,Luxaviation Germany GmbH,4940,0,"('ATH', 'LGA')",0.00013441056512676196,"[[23.9444999695, 37.9364013672], [-73.87259674, 40.77719879]]"
42,Delta Air Lines Inc.,1807,1151,"('ATL', 'ANU')",0.0005135632496418733,"[[-84.4281005859, 33.6366996765], [-61.792702, 17.1367]]"
43,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,4358,470,"('ATL', 'BOD')",0.0011781098916541272,"[[-84.4281005859, 33.6366996765], [-0.715556025505, 44.8283004761]]"
44,Delta Air Lines Inc.,1134,6852,"('ATL', 'BZE')",0.00036678269474149444,"[[-84.4281005859, 33.6366996765], [-88.3081970215, 17.539100647]]"
45,Delta Air Lines Inc.,4395,19306,"('ATL', 'CDG')",0.0003540093036876085,"[[-84.4281005859, 33.6366996765], [2.54999995232, 49.0127983093]]"
46,Chartright Air Inc.,1770,0,"('ATL', 'CUR')",0.0006412861852648458,"[[-84.4281005859, 33.6366996765], [-68.959801, 12.1889]]"
47,VistaJet Limited,4202,0,"('ATL', 'FAB')",0.0005778742812789007,"[[-84.4281005859, 33.6366996765], [-0.776332974434, 51.2757987976]]"
48,Delta Air Lines Inc.,1366,11117,"('ATL', 'GUA')",0.000579233653982219,"[[-84.4281005859, 33.6366996765], [-90.5274963379, 14.5832996368]]"
49,Delta Air Lines Inc.,2479,348,"('ATL', 'GYE')",0.00045628959936892566,"[[-84.4281005859, 33.6366996765], [-79.8835983276, -2.15741991997]]"
50,Delta Air Lines Inc.,6882,878,"('ATL', 'HND')",0.0005592910596796611,"[[-84.4281005859, 33.6366996765], [139.779998779, 35.5522994995]]"
51,Delta Air Lines Inc.,7092,935,"('ATL', 'KIX')",0.0010857836478178704,"[[-84.4281005859, 33.6366996765], [135.244003296, 34.4272994995]]"
52,"Global Jet Luxembourg, Sa",4391,0,"('ATL', 'LBG')",0.0005164935548275173,"[[-84.4281005859, 33.6366996765], [2.44139003754, 48.9693984985]]"
53,Antonov Company,4717,0,"('ATL', 'LEJ')",0.00044944550385768477,"[[-84.4281005859, 33.6366996765], [12.2416000366, 51.4323997498]]"
54,AirBridgeCargo Airlines Limited,4472,0,"('ATL', 'LGG')",0.0008120353599148804,"[[-84.4281005859, 33.6366996765], [5.44322013855, 50.6374015808]]"
55,Delta Air Lines Inc.,1587,13921,"('ATL', 'LIR')",0.000688261893552697,"[[-84.4281005859, 33.6366996765], [-85.5444030762, 10.5932998657]]"
56,Delta Air Lines Inc.,5844,12239,"('ATL', 'LOS')",0.0011102115921061625,"[[-84.4281005859, 33.6366996765], [3.32116007805, 6.57737016678]]"
57,Southwest Airlines Co.,1419,260,"('ATL', 'LRM')",0.0006523123593768866,"[[-84.4281005859, 33.6366996765], [-68.9117965698, 18.4507007599]]"
58,Delta Air Lines Inc.,4683,621,"('ATL', 'MDZ')",0.00122167199011044,"[[-84.4281005859, 33.6366996765], [-68.7929000854, -32.8316993713]]"
59,AirBridgeCargo Airlines Limited,5057,0,"('ATL', 'MVD')",0.00046933871464895793,"[[-84.4281005859, 33.6366996765], [-56.0307998657, -34.8384017944]]"
60,Delta Air Lines Inc.,726,11377,"('ATL', 'NAS')",0.001152857447441592,"[[-84.4281005859, 33.6366996765], [-77.4662017822, 25.0389995575]]"
61,Delta Air Lines Inc.,1104,6600,"('ATL', 'PLS')",0.0005428706652660972,"[[-84.4281005859, 33.6366996765], [-72.2658996582, 21.7735996246]]"
62,Volga-Dnepr Airlines,2158,0,"('ATL', 'POS')",0.00041065010693464157,"[[-84.4281005859, 33.6366996765], [-61.3372001648, 10.5953998566]]"
63,Delta Air Lines Inc.,4682,16501,"('ATL', 'STR')",0.0005601171389935625,"[[-84.4281005859, 33.6366996765], [9.22196006775, 48.6898994446]]"
64,AirBridgeCargo Airlines Limited,5381,0,"('ATL', 'SVO')",0.00036411527216685284,"[[-84.4281005859, 33.6366996765], [37.4146003723, 55.9725990295]]"
65,Delta Air Lines Inc.,1701,5548,"('ATL', 'SXM')",0.0006018156148897021,"[[-84.4281005859, 33.6366996765], [-63.1088981628, 18.0410003662]]"
66,Air Atlanta Icelandic,4869,0,"('ATL', 'TLL')",0.0014148869980855786,"[[-84.4281005859, 33.6366996765], [24.8327999115, 59.4132995605]]"
67,Delta Air Lines Inc.,4485,488,"('ATL', 'TLS')",0.0008102028505465469,"[[-84.4281005859, 33.6366996765], [1.36381995678, 43.6291007996]]"
68,Delta Air Lines Inc.,4605,576,"('ATL', 'VCP')",0.000828687712937412,"[[-84.4281005859, 33.6366996765], [-47.1344985962, -23.0074005127]]"
69,Cargojet Airways Ltd.,1973,0,"('ATL', 'YEG')",0.00112096370880848,"[[-84.4281005859, 33.6366996765], [-113.580001831, 53.3097000122]]"
70,Miami Air International,1007,160,"('ATL', 'YHU')",0.000736952644477522,"[[-84.4281005859, 33.6366996765], [-73.4169006348, 45.5175018311]]"
71,Virgin Atlantic Airways,1357,0,"('ATL', 'YHZ')",0.0008129389662467667,"[[-84.4281005859, 33.6366996765], [-63.5085983276, 44.8807983398]]"
72,Cargologicair Limited,997,0,"('ATL', 'YMX')",0.00042484517968766744,"[[-84.4281005859, 33.6366996765], [-74.0386962891, 45.6795005798]]"
73,Volga-Dnepr Airlines,1860,0,"('ATL', 'YQX')",0.00034505979605489994,"[[-84.4281005859, 33.6366996765], [-54.5680999756, 48.9369010925]]"
74,Delta Air Lines Inc.,2248,7149,"('ATL', 'YVR')",0.003438307681169224,"[[-84.4281005859, 33.6366996765], [-123.183998108, 49.193901062]]"
75,Sky Lease Cargo,1800,269,"('ATL', 'YYR')",0.0016909366492423462,"[[-84.4281005859, 33.6366996765], [-60.4258003235, 53.3191986084]]"
76,Cavok Air LLC,1905,0,"('ATL', 'YYT')",0.0003618281299241294,"[[-84.4281005859, 33.6366996765], [-52.7518997192, 47.618598938]]"
77,Delta Air Lines Inc.,739,14401,"('ATL', 'YYZ')",0.0038755478141349682,"[[-84.4281005859, 33.6366996765], [-79.6305999756, 43.6772003174]]"
78,"Jet Aviation Flight Services, Inc.",1863,279,"('AUA', 'MNZ')",0.0016242948807564644,"[[-70.0151977539, 12.5013999939], [-77.51540375, 38.72140121]]"
79,Southwest Airlines Co.,1722,585,"('AUA', 'ORF')",0.00023016484530319207,"[[-70.0151977539, 12.5013999939], [-76.2012023926, 36.8945999146]]"
80,Southwest Airlines Co.,1175,230,"('AUA', 'PBI')",0.0004376540152856938,"[[-70.0151977539, 12.5013999939], [-80.0955963135, 26.6832008362]]"
81,Allegiant Air,1333,204,"('AUA', 'SFB')",0.000604604105476883,"[[-70.0151977539, 12.5013999939], [-81.2375030518, 28.7775993347]]"
82,Scandinavian Airlines Sys.,5248,0,"('AUS', 'ARN')",0.0002962456606932612,"[[-97.6698989868, 30.1944999695], [17.9186000824, 59.6519012451]]"
83,CAT Aviation,5498,0,"('AUS', 'PLQ')",0.0023894862604540022,"[[-97.6698989868, 30.1944999695], [21.0939006805, 55.9732017517]]"
84,VistaJet Limited,4930,0,"('AUS', 'STN')",0.0002846040819247438,"[[-97.6698989868, 30.1944999695], [0.234999999404, 51.8849983215]]"
85,Atlas Air Inc.,5088,2176,"('AUS', 'SVQ')",0.0023894862604540022,"[[-97.6698989868, 30.1944999695], [-5.89310979843, 37.4179992676]]"
86,Atlas Air Inc.,4471,1041,"('AUS', 'TUC')",0.0023894862604540022,"[[-97.6698989868, 30.1944999695], [-65.104897, -26.8409]]"
87,Tradewind Aviation,120,42,"('AXA', 'STX')",0.00035424709264818483,"[[-63.0550994873, 18.2047996521], [-64.7985992432, 17.7019004822]]"
88,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,4420,592,"('BCN', 'MDW')",0.0002567000479171784,"[[2.0784599781, 41.2971000671], [-87.7524032593, 41.7859992981]]"
89,Norwegian Air Shuttle ASA,3819,0,"('BCN', 'SWF')",0.0002960458540539992,"[[2.0784599781, 41.2971000671], [-74.1047973633, 41.5041007996]]"
90,VistaJet Limited,3838,0,"('BCN', 'TEB')",0.0007160260464306164,"[[2.0784599781, 41.2971000671], [-74.060798645, 40.8501014709]]"
91,Tropic Ocean Airways LLC,328,359,"('BCT', 'GGT')",0.0002469192770405816,"[[-80.1076965332, 26.3784999847], [-75.8779983521, 23.5625991821]]"
92,VistaJet Limited,4776,0,"('BCT', 'MRS')",0.00019477237344017807,"[[-80.1076965332, 26.3784999847], [5.22142410278, 43.439271922]]"
93,VistaJet Limited,4732,0,"('BCT', 'PMI')",0.0001686339551062612,"[[-80.1076965332, 26.3784999847], [2.73881006241, 39.551700592]]"
94,Delta Air Lines Inc.,1007,196,"('BDA', 'AGS')",0.00033398250559623266,"[[-64.6787033081, 32.3639984131], [-81.9645004272, 33.3698997498]]"
95,Miami Air International,1826,240,"('BDL', 'ANU')",0.0001576155328984799,"[[-72.6831970215, 41.9388999939], [-61.792702, 17.1367]]"
96,VistaJet Limited,3138,0,"('BED', 'LPL')",0.0003835220057027508,"[[-71.28900146, 42.47000122], [-2.84972000122, 53.3335990906]]"
97,DCA,5011,0,"('BFI', 'LBG')",0.000804278779936481,"[[-122.302001953, 47.5299987793], [2.44139003754, 48.9693984985]]"
98,Norwegian Air Shuttle ASA,4563,0,"('BFI', 'OSL')",0.0007087611344208291,"[[-122.302001953, 47.5299987793], [11.100399971, 60.193901062]]"
99,TAG Aviation (UK) Ltd.,3344,0,"('BFI', 'PKC')",0.0005216851745232952,"[[-122.302001953, 47.5299987793], [158.453994751, 53.1679000854]]"
100,Norwegian Air International Ltd.,4497,0,"('BFI', 'SNN')",0.0008945299802334503,"[[-122.302001953, 47.5299987793], [-8.92481994629, 52.7019996643]]"
101,United Parcel Service,122,849,"('BFI', 'YVR')",0.0018676514294990554,"[[-122.302001953, 47.5299987793], [-123.183998108, 49.193901062]]"
102,Thomas Cook Airlines Uk Ltd.,4905,0,"('BFS', 'LAS')",0.0004932937528663492,"[[-6.21582984924, 54.6575012207], [-115.1520004, 36.08010101]]"
103,JetBlue Airways,2037,349,"('BGI', 'ACY')",0.00059064284064913,"[[-59.4925003052, 13.0746002197], [-74.5772018433, 39.4575996399]]"
104,VistaJet Limited,1631,0,"('BGI', 'PBI')",0.00030458915678756277,"[[-59.4925003052, 13.0746002197], [-80.0955963135, 26.6832008362]]"
105,Air Alsie A/S,3548,0,"('BGR', 'BMA')",0.0002858449696956593,"[[-68.8281021118, 44.8073997498], [17.9416999817, 59.3544006348]]"
106,Jet Aviation Business Jets AG,3514,0,"('BGR', 'BSL')",0.00035777219154480374,"[[-68.8281021118, 44.8073997498], [7.52991008759, 47.5895996094]]"
107,Avjet Corporation,3261,378,"('BGR', 'LBG')",0.0006063662754451506,"[[-68.8281021118, 44.8073997498], [2.44139003754, 48.9693984985]]"
108,Western Global,3338,380,"('BGR', 'LGG')",0.0005583086698666613,"[[-68.8281021118, 44.8073997498], [5.44322013855, 50.6374015808]]"
109,"Jet Aviation Flight Services, Inc.",2942,339,"('BGR', 'LPL')",0.00034384933117665676,"[[-68.8281021118, 44.8073997498], [-2.84972000122, 53.3335990906]]"
110,Antonov Company,2837,0,"('BGR', 'PIK')",0.0002589856969799305,"[[-68.8281021118, 44.8073997498], [-4.58666992188, 55.5093994141]]"
111,Gainjet Aviation SA,3097,0,"('BGR', 'STN')",0.0004065420442057378,"[[-68.8281021118, 44.8073997498], [0.234999999404, 51.8849983215]]"
112,Swiss Air Ambulance,3588,0,"('BGR', 'TXL')",0.0002600869539054794,"[[-68.8281021118, 44.8073997498], [13.2876996994, 52.5597000122]]"
113,Republic Airline,261,62,"('BGR', 'YHZ')",0.0006156560917305568,"[[-68.8281021118, 44.8073997498], [-63.5085983276, 44.8807983398]]"
114,Antonov Company,700,0,"('BGR', 'YYR')",0.0006828829209704215,"[[-68.8281021118, 44.8073997498], [-60.4258003235, 53.3191986084]]"
115,Delta Air Lines Inc.,2098,0,"('BIF', 'NBW')",0.002389486260454002,"[[-106.3799973, 31.84950066], [-75.2070999146, 19.9064998627]]"
116,American Airlines Inc.,676,183,"('BJX', 'AUS')",0.0003269861259623149,"[[-101.481002808, 20.9934997559], [-97.6698989868, 30.1944999695]]"
117,Mesa Airlines Inc.,434,173,"('BJX', 'HRL')",0.0008025404188955852,"[[-101.481002808, 20.9934997559], [-97.6544036865, 26.2285003662]]"
118,American Airlines Inc.,617,201,"('BJX', 'SAT')",0.0002450126481740089,"[[-101.481002808, 20.9934997559], [-98.4698028564, 29.533700943]]"
119,Avjet Corporation,1319,190,"('BJX', 'SBD')",0.0007589538027670278,"[[-101.481002808, 20.9934997559], [-117.23500061, 34.0954017639]]"
120,SkyWest Airlines Inc.,963,218,"('BJX', 'TUS')",0.00022321483906098056,"[[-101.481002808, 20.9934997559], [-110.941001892, 32.1161003113]]"
121,VistaJet Limited,4175,0,"('BNA', 'LTN')",0.00025050430770100386,"[[-86.6781997681, 36.1245002747], [0.0, 0.0]]"
122,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",2187,289,"('BOG', 'AEX')",0.0002410792166657035,"[[-74.1469, 4.70159], [-92.5497970581, 31.3274002075]]"
123,Delta Air Lines Inc.,2145,318,"('BOG', 'BHM')",0.00031260862194584007,"[[-74.1469, 4.70159], [-86.75350189, 33.56290054]]"
124,United Parcel Service,1562,257,"('BOG', 'PBI')",0.0003731942446524747,"[[-74.1469, 4.70159], [-80.0955963135, 26.6832008362]]"
125,Spirit Air Lines,1583,253,"('BOG', 'RSW')",0.00016635257955362168,"[[-74.1469, 4.70159], [-81.7552032471, 26.5361995697]]"
126,Atlas Air Inc.,4670,592,"('BOJ', 'PSM')",0.0023894862604540022,"[[27.5151996613, 42.5695991516], [-70.8233032227, 43.0778999329]]"
127,Miami Air International,1821,235,"('BOS', 'ANU')",0.00040955967507996284,"[[-71.00520325, 42.36429977], [-61.792702, 17.1367]]"
128,JetBlue Airways,2057,16074,"('BOS', 'AUA')",0.0005270464262501681,"[[-71.00520325, 42.36429977], [-70.0151977539, 12.5013999939]]"
129,Delta Air Lines Inc.,772,3869,"('BOS', 'BDA')",0.000541889423087342,"[[-71.00520325, 42.36429977], [-64.6787033081, 32.3639984131]]"
130,JetBlue Airways,2132,1429,"('BOS', 'BGI')",0.00037288215697716504,"[[-71.00520325, 42.36429977], [-59.4925003052, 13.0746002197]]"
131,Aerovias Nacl De Colombia,2599,0,"('BOS', 'BOG')",0.0003209200960547358,"[[-71.00520325, 42.36429977], [-74.1469, 4.70159]]"
132,JetBlue Airways,1767,285,"('BOS', 'CZM')",0.00027137215310192895,"[[-71.00520325, 42.36429977], [-86.9255981445, 20.5223999023]]"
133,Chartright Air Inc.,3303,0,"('BOS', 'FAO')",0.0023894862604540022,"[[-71.00520325, 42.36429977], [-7.96590995789, 37.0144004822]]"
134,VistaJet Limited,3736,0,"('BOS', 'STR')",0.0004156887280499685,"[[-71.00520325, 42.36429977], [9.22196006775, 48.6898994446]]"
135,Luxaviation S A,4481,0,"('BOS', 'SVO')",0.00030493707453272306,"[[-71.00520325, 42.36429977], [37.4146003723, 55.9725990295]]"
136,VistaJet Limited,3919,0,"('BOS', 'SZG')",0.001235188497492116,"[[-71.00520325, 42.36429977], [13.0043001175, 47.7933006287]]"
137,Jazz Aviation LP,306,0,"('BOS', 'YQB')",0.00037819302741968005,"[[-71.00520325, 42.36429977], [-71.393303, 46.7911]]"
138,Federal Express Corporation,630,3005,"('BQN', 'BGI')",0.0003785621802399197,"[[-67.1294021606, 18.4948997498], [-59.4925003052, 13.0746002197]]"
139,Federal Express Corporation,667,3431,"('BQN', 'POS')",0.00023364057210342623,"[[-67.1294021606, 18.4948997498], [-61.3372001648, 10.5953998566]]"
140,USA Jet Airlines Inc.,559,110,"('BRO', 'CUU')",0.00016234956625568235,"[[-97.4259033203, 25.9067993164], [-105.964996338, 28.7028999329]]"
141,USA Jet Airlines Inc.,469,80,"('BRO', 'PBC')",0.00011815262432444989,"[[-97.4259033203, 25.9067993164], [-98.3713989258, 19.1581001282]]"
142,Delta Air Lines Inc.,3481,427,"('BRU', 'BOS')",0.0003378154918169736,"[[4.48443984985, 50.9014015198], [-71.00520325, 42.36429977]]"
143,VistaJet Limited,4163,0,"('BRU', 'MDW')",0.00025756918636859414,"[[4.48443984985, 50.9014015198], [-87.7524032593, 41.7859992981]]"
144,VistaJet Limited,3883,0,"('BSL', 'LGA')",0.00030895247048800644,"[[7.52991008759, 47.5895996094], [-73.87259674, 40.77719879]]"
145,"Jet Aviation Flight Services, Inc.",4127,489,"('BTV', 'CIA')",0.00017623004368297663,"[[-73.1532974243, 44.4719009399], [12.5949001312, 41.7994003296]]"
146,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",1391,212,"('BUF', 'HAV')",0.00020172290967653182,"[[-78.73220062, 42.94049835], [-82.4091033936, 22.989200592]]"
147,Delta Air Lines Inc.,1740,257,"('BUF', 'YYC')",0.0003667612941790708,"[[-78.73220062, 42.94049835], [-114.019996643, 51.113899231]]"
148,American Airlines Inc.,68,64,"('BUF', 'YYZ')",0.0007421109257353886,"[[-78.73220062, 42.94049835], [-79.6305999756, 43.6772003174]]"
149,Tradewind Aviation,572,132,"('BVY', 'YZV')",0.0023894862604540022,"[[-70.9164962769, 42.5842018127], [-66.2656021118, 50.2233009338]]"
150,Southwest Airlines Co.,1881,8726,"('BWI', 'AUA')",0.00025192996988772316,"[[-76.66829681, 39.17539978], [-70.0151977539, 12.5013999939]]"
151,Antonov Company,1283,0,"('BWI', 'YQX')",0.0001657812621654598,"[[-76.66829681, 39.17539978], [-54.5680999756, 48.9369010925]]"
152,Avjet Corporation,726,117,"('BZE', 'APF')",0.0002949828953910035,"[[-88.3081970215, 17.539100647], [-81.7752990723, 26.1525993347]]"
153,Delta Air Lines Inc.,1181,233,"('BZE', 'HSV')",0.00015358188963752263,"[[-88.3081970215, 17.539100647], [-86.775100708, 34.6371994019]]"
154,Southwest Airlines Co.,820,170,"('BZE', 'PBI')",0.00031233631934750013,"[[-88.3081970215, 17.539100647], [-80.0955963135, 26.6832008362]]"
155,American Airlines Inc.,5110,640,"('CDG', 'AUS')",0.0003114397175302958,"[[2.54999995232, 49.0127983093], [-97.6698989868, 30.1944999695]]"
156,Delta Air Lines Inc.,3449,14756,"('CDG', 'BOS')",0.00033496014545219324,"[[2.54999995232, 49.0127983093], [-71.00520325, 42.36429977]]"
157,Delta Air Lines Inc.,4240,605,"('CDG', 'CAE')",0.00038807081313060535,"[[2.54999995232, 49.0127983093], [-81.1194992065, 33.9388008118]]"
158,American Airlines Inc.,3635,15224,"('CDG', 'JFK')",0.0006810662056348063,"[[2.54999995232, 49.0127983093], [-73.77890015, 40.63980103]]"
159,United Parcel Service,4239,1132,"('CDG', 'SDF')",0.00039376099370092124,"[[2.54999995232, 49.0127983093], [-85.736000061, 38.1744003296]]"
160,"Jet Aviation Flight Services, Inc.",313,84,"('CFG', 'PBI')",0.00038224980807518357,"[[-80.4141998291, 22.1499996185], [-80.0955963135, 26.6832008362]]"
161,Atlas Air Inc.,5096,616,"('CHS', 'BRI')",0.0023894862604540022,"[[-80.04049683, 32.89860153], [16.7605991364, 41.1389007568]]"
162,American Airlines Inc.,1715,1202,"('CLT', 'ANU')",0.00021177790245549094,"[[-80.9430999756, 35.2140007019], [-61.792702, 17.1367]]"
163,American Airlines Inc.,1706,7412,"('CLT', 'AUA')",0.00025456921187959065,"[[-80.9430999756, 35.2140007019], [-70.0151977539, 12.5013999939]]"
164,American Airlines Inc.,956,616,"('CLT', 'BDA')",0.00028748097547018505,"[[-80.9430999756, 35.2140007019], [-64.6787033081, 32.3639984131]]"
165,American Airlines Inc.,2029,1377,"('CLT', 'BGI')",0.00018420003849098455,"[[-80.9430999756, 35.2140007019], [-59.4925003052, 13.0746002197]]"
166,American Airlines Inc.,1096,5273,"('CLT', 'GCM')",0.0002279710394629745,"[[-80.9430999756, 35.2140007019], [-81.3576965332, 19.2928009033]]"
167,American Airlines Inc.,1748,7508,"('CLT', 'SJO')",0.00022915345166030134,"[[-80.9430999756, 35.2140007019], [-84.2088012695, 9.99386024475]]"
168,ABS JETS A.S,5263,0,"('CLT', 'SOF')",0.0023894862604540022,"[[-80.9430999756, 35.2140007019], [23.4114360809, 42.6966934204]]"
169,"Jet Aviation Flight Services, Inc.",1143,172,"('CMH', 'BDA')",0.00021000709234958966,"[[-82.8918991089, 39.9980010986], [-64.6787033081, 32.3639984131]]"
170,Western Global,5182,540,"('COS', 'STR')",0.00016783253939704884,"[[-104.700996399, 38.8058013916], [9.22196006775, 48.6898994446]]"
171,Southwest Airlines Co.,1538,336,"('CUN', 'ABQ')",0.0008918939672424186,"[[-86.8770980835, 21.0365009308], [-106.60900116, 35.0401992798]]"
172,Delta Air Lines Inc.,880,18640,"('CUN', 'ATL')",0.0008368726426129365,"[[-86.8770980835, 21.0365009308], [-84.4281005859, 33.6366996765]]"
173,Southwest Airlines Co.,921,5150,"('CUN', 'AUS')",0.0006215915111330728,"[[-86.8770980835, 21.0365009308], [-97.6698989868, 30.1944999695]]"
174,Delta Air Lines Inc.,1660,1193,"('CUN', 'BDL')",0.000296987179270491,"[[-86.8770980835, 21.0365009308], [-72.6831970215, 41.9388999939]]"
175,Southwest Airlines Co.,1039,879,"('CUN', 'BNA')",0.0003131382225144192,"[[-86.8770980835, 21.0365009308], [-86.6781997681, 36.1245002747]]"
